filename,category,text
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Document Name,MARKETING AFFILIATE AGREEMENT
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Parties,BIRCH FIRST GLOBAL INVESTMENTS INC.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Parties,MARKETING AFFILIATE AGREEMENT made as of the 8th day of May 2014 by and between Cybergy Holdings Inc. and Birch First Global Investments Inc.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Agreement Date,8th day of May 2014
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Effective Date,8th day of May 2014
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Expiration Date,May 8 2015
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Renewal Term,The Agreement shall automatically renew for successive one year terms unless terminated in accordance with this Agreement.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Notice Period To Terminate Renewal,Either party may terminate renewal by giving thirty days prior written notice.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Governing Law,This Agreement shall be governed by and construed in accordance with the laws of the State of Nevada.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Most Favored Nation,If more favorable commercial terms are granted to another similarly situated distributor the same terms shall be offered hereunder.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Competitive Restriction Exception,The restrictions shall not apply to passive investments of less than five percent of a public company.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Non-Compete,During the Term the Affiliate shall not engage in a directly competing business within the Territory.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Exclusivity,The rights granted to Affiliate are exclusive within the defined Territory during the Term.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,No-Solicit Of Customers,Neither party shall solicit the customers of the other party for twelve months following termination.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,No-Solicit Of Employees,Neither party shall knowingly solicit for employment the employees of the other party during the Term.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Non-Disparagement,The parties agree not to make public statements intended to disparage the other party.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Termination For Convenience,Either party may terminate this Agreement for convenience upon sixty days prior written notice.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Rofr/Rofo/Rofn,Company shall have a right of first refusal with respect to any proposed sale of the specified assets.
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Change Of Control,A change of control of either party shall be deemed an assignment requiring consent.
